Timestamp,From Label,From,To Label,To,Value,Asset,Value USD,Txn Hash
2020-12-28 19:40:43,Chen Zhi,34Jpa4Eu3ApoPVUKNTN2WeuXVVq1jzxgPi,from Chen (Dec 28 2020 7-8pm),bc1qg87c30jyj5nrf3jl2puv2w9fyy9pfp554sxn9t,3552.31,btc,"$96,456,655",60916b6158148f9b1c95ff2024528c56ea17ad8365ac183214c7753b6c3857bf
2020-12-28 19:40:43,Chen Zhi,34Jpa4Eu3ApoPVUKNTN2WeuXVVq1jzxgPi,from Chen (Dec 28 2020 7-8pm),bc1qhkya3avpxfm0pajdw0h89gaa08vyk924zj67v0,3502.48,btc,"$95,103,610",95384d1cb51085a8ec6a8e7c31147d31ee4e241bac7ac1d6806364a98617c9e2
2020-12-28 19:40:43,Chen Zhi,34Jpa4Eu3ApoPVUKNTN2WeuXVVq1jzxgPi,from Chen (Dec 28 2020 7-8pm),bc1q9x82ww3mngsvpdmq30t6m4gmhksdwdaaprlpvr,3511.52,btc,"$95,349,075",df88141abb95547bab81537d3e619a47edb685de4f571825a4a65b8e3db464a9
2020-12-28 19:40:43,Chen Zhi,34Jpa4Eu3ApoPVUKNTN2WeuXVVq1jzxgPi,from Chen (Dec 28 2020 7-8pm),bc1q9gkp6stycd870sc9sv70ulj7esd7ynmgqfdaud,3572.95,btc,"$97,017,097",dfa042c757f6ef0f45265c1f2345d3e316789801d8ac5c31392cf12028c793b6
2020-12-28 19:43:53,Chen Zhi,3FrM1He2ZDbsSKmYpEZQNGjFTLMgCZZkaf,from Chen (Dec 28 2020 7-8pm),bc1qlp4vkck23n0ppm5qergdhlanxg5pn4scfxjwda,1499.999065,btc,"$40,729,805",02c16c101647024c85de1552e1426fd8fc5c1473a128bcd0b049f244e332982d
2020-12-28 19:43:53,Chen Zhi,339khCuymVi4FKbW9hCHkH3CQwdopXiTvA,from Chen (Dec 28 2020 7-8pm),bc1q3839jv0jkcwq49kajrafw7r3pwj22qwqcppwtt,1499.999065,btc,"$40,729,805",03427e7d9ebd1fac8d1172bfaa9512aa3240f8daecfd0fc098b80764ec28a56b
2020-12-28 19:43:53,Chen Zhi,3MHa8JJ3bu8j3x3iQHhqsrZvk1EjBQmC78,from Chen (Dec 28 2020 7-8pm),bc1qxedmuglevyrdn3swp3p28qdl4fxyz9vw0ur0lt,699.99925,btc,"$19,007,234",19f7b691a73316b80841885d275bf07af4ac40fab1914b7bf8e32bd7e47436e9
2020-12-28 19:43:53,Chen Zhi,3Pja5FPK1wFB9LkWWJai8XYL1qjbqqT9Ye,from Chen (Dec 28 2020 7-8pm),bc1qtpuvlw2uvnl7kx9grs0nzfljexa6ssvu33926c,124.6724685,btc,"$3,385,259",35b82265df8ec6ab62d7c24f06ce245988f350c4e79ac8524c3a2927b747505d
2020-12-28 19:43:53,Chen Zhi,3B1u4PsuFzww1P8if5jYmitXxpMs2EMSqt,from Chen (Dec 28 2020 7-8pm),bc1qpfy55mxsmd37v7l8xl0s7vseqkpr33089z9zn4,2998.999069,btc,"$81,432,481",394b2c810635915a1a6c7f7be416062b8f05af548f5fb02ce14f24b763c648fc
2020-12-28 19:43:53,Chen Zhi,38Md7BghVmV7XUUT1Vt9CvVcc5ssMD6ojt,from Chen (Dec 28 2020 7-8pm),bc1qgc6ctj0wht2ed4x6pg4v0v26rhd2u7taz9nng3,899.99925,btc,"$24,437,878",3b99fa7b63bb8c44a97b8ac80ff36863787e6f26b0dd057a6d167042535306cc
